date,composite_score,bull_score,bear_score,is_bull,fwd_ret_3d
2012-05-18,70.16084893090317,0.037572785829307564,6.048935426731078,1,0.006104259822509
2012-05-22,57.88580816446763,0.037572785829307564,8.549525925925925,1,0.0122485147335061
2012-05-23,49.24849749457009,0.037572785829307564,10.309061996779388,1,0.0305482298163966
2012-05-24,59.60587159986176,0.037572785829307564,8.199125925925927,1,0.0138629067705252
2012-05-25,61.65741646216524,0.037572785829307564,7.781198711755234,1,0.0061492522423599
2012-05-28,66.54114801419114,0.037572785829307564,6.786317069243157,0,-0.0123918073234649
2012-05-29,56.225990077690554,0.037572785829307564,8.887653140096617,0,-0.0302107050308881
2012-05-30,61.65741646216524,0.037572785829307564,7.781198711755234,0,-0.0209418913724304
2012-05-31,45.041340005036304,0.037572785829307564,11.166116425120773,0,-0.0124547589301667
2012-06-01,58.05944810600021,0.07294557165861515,8.549525925925925,1,0.0316124995571349
2012-06-04,57.88580816446763,0.037572785829307564,8.549525925925925,1,0.0407217450723166
2012-06-05,78.52067559908923,0.037572785829307564,4.345926570048309,1,0.0412981010142877
2012-06-06,76.42691456799467,0.037572785829307564,4.772453784219002,1,0.0113420509090962
2012-06-07,72.2197570784609,0.037572785829307564,5.6295082125603875,1,0.0130344030501021
2012-06-08,83.40440715111515,0.037572785829307564,3.3510449275362317,1,0.0104222812341932
2012-06-11,83.40440715111515,0.037572785829307564,3.3510449275362317,1,0.0001286001871421
2012-06-12,78.52067559908923,0.037572785829307564,4.345926570048309,1,0.0045149004772816
2012-06-13,76.42691456799467,0.037572785829307564,4.772453784219002,0,-0.0112315503702023
2012-06-14,72.2197570784609,0.037572785829307564,5.6295082125603875,1,0.0096667616306254
2012-06-15,87.38870254028677,0.037572785829307564,2.539390499194847,0,-0.0036063823250229
2012-06-18,87.38870254028677,0.037572785829307564,2.539390499194847,1,0.0196990508598231
2012-06-19,87.38870254028677,0.037572785829307564,2.539390499194847,1,0.0082342732009438
2012-06-20,49.24849749457009,0.037572785829307564,10.309061996779388,0,-0.0011528842921477
2012-06-21,45.041340005036304,0.037572785829307564,11.166116425120773,0,-0.0085944257259451
2012-06-22,68.01652667439606,0.0,6.448189855072464,0,-0.0008067691279788
2012-06-25,56.041550651118385,0.0,8.887653140096617,1,0.0067226816449934
2012-06-26,64.3051637253155,0.0,7.20424428341385,1,0.0304070658347765
2012-06-27,44.85690057846414,0.0,11.166116425120773,1,0.0262382500752768
2012-06-28,59.42143217328959,0.0,8.199125925925927,1,0.0265989946240866
2012-06-29,57.93931470398188,0.048472785829307585,8.549525925925925,1,0.0044700942461897
2012-07-02,57.701368737895464,0.0,8.549525925925925,1,0.0091836321812764
2012-07-03,48.848425662422194,0.048472785829307585,10.401461996779387,1,0.0054691835448182
2012-07-04,72.27326361797516,0.048472785829307585,5.6295082125603875,0,-0.0051807219498313
2012-07-05,85.39066421749756,0.048472785829307585,2.9573177133655393,1,0.0033824808664077
2012-07-06,87.44220907980103,0.048472785829307585,2.539390499194847,0,-0.0020050367953126
2012-07-09,78.57418213860349,0.048472785829307585,4.345926570048309,0,-0.007592516302667
2012-07-10,80.50693266547164,0.048472785829307585,3.9521993558776165,0,-0.0223416969224293
2012-07-11,72.27326361797516,0.048472785829307585,5.6295082125603875,0,-0.0207651543384514
2012-07-12,77.15699517000107,0.048472785829307585,4.63462657004831,0,-0.0081319192666738
2012-07-13,87.44220907980103,0.048472785829307585,2.539390499194847,0,-0.0020969888615639
2012-07-16,83.21996772454298,0.0,3.3510449275362317,1,0.0087069932588893
2012-07-17,72.46926059620621,0.0,5.5411082125603865,1,0.0023562347707971
2012-07-18,78.60916861260814,0.0,4.290326570048309,0,-0.0190343700591438
2012-07-19,76.91904920391465,0.0,4.63462657004831,0,-0.0220819123860854
2012-07-20,68.01652667439606,0.0,6.448189855072464,0,-0.0185177909130053
2012-07-23,66.35670858761898,0.0,6.786317069243157,0,-0.0147528251540995
2012-07-24,46.950661609558686,0.0,10.739589210950081,0,-0.0055435928848503
2012-07-25,44.85690057846414,0.0,11.166116425120773,1,0.0174990400440137
2012-07-26,51.63839618335358,0.048472785829307585,9.833107568438,1,0.0362189121114053
2012-07-27,57.93931470398188,0.048472785829307585,8.549525925925925,1,0.0272057860950551
2012-07-30,63.37074108845658,0.048472785829307585,7.4430714975845405,1,0.0053608118755158
2012-07-31,61.319196226153096,0.048472785829307585,7.860998711755233,0,-0.0025467475731355
2012-08-01,51.63839618335358,0.048472785829307585,9.833107568438,1,0.0079920220505184
2012-08-02,77.15699517000107,0.048472785829307585,4.63462657004831,1,0.0206265092324246
2012-08-03,83.4579136906294,0.048472785829307585,3.3510449275362317,1,0.0231777433494742
2012-08-06,77.01695915970237,0.048472785829307585,4.663153784219001,1,0.0076187252685666
2012-08-07,74.36702464906972,0.048472785829307585,5.202980998389695,0,-0.0030589959201926
2012-08-08,85.39066421749756,0.048472785829307585,2.9573177133655393,1,0.0018529095036355
2012-08-09,85.39066421749756,0.048472785829307585,2.9573177133655393,1,0.0107257668725603
2012-08-10,83.4579136906294,0.048472785829307585,3.3510449275362317,1,0.0079657083202897
2012-08-13,76.67641808574,0.0,4.684053784219001,1,0.0034346975208519
2012-08-14,78.60916861260814,0.0,4.290326570048309,1,0.0075268724584606
2012-08-16,85.15271825141113,0.0,2.9573177133655393,1,0.0092615595476359
2012-08-17,83.21996772454298,0.0,3.3510449275362317,1,0.0090988556297564
2012-08-21,51.15781909909247,0.0,9.882534782608696,0,-0.006347347753696
2012-08-22,51.63839618335358,0.048472785829307585,9.833107568438,0,-0.0116324675768165
2012-08-23,51.63839618335358,0.048472785829307585,9.833107568438,0,-0.0238352332850435
2012-08-24,57.701368737895464,0.0,8.549525925925925,0,-0.0133905334371191
2012-08-27,53.055583151955986,0.048472785829307585,9.544407568438,0,-0.0172974738101673
2012-08-29,55.78124764833351,0.035372785829307585,8.976053140096617,0,-0.0064601730143433
2012-08-30,66.13862175362517,0.035372785829307585,6.866117069243156,0,-0.007753331156291
2012-08-31,57.87500867942805,0.035372785829307585,8.549525925925925,0,-0.0062570548085574
2012-09-03,83.03633300268244,0.1458183574879227,3.534272141706924,0,-0.0029259991425108
2012-09-04,77.49481463460968,0.1458183574879227,4.663153784219001,1,0.0128297461621465
2012-09-05,81.84200813444218,0.1458183574879227,3.777572141706924,1,0.0260186645716004
2012-09-06,85.86851969240489,0.1458183574879227,2.9573177133655393,1,0.0285292767262271
