feature,feature_type,target,n,k_levels,H_or_chi2,p_value,effect_size,abs_effect_size,mutual_info,spearman_rho,spearman_p,pearson_r,pearson_p,level,level_mean,level_median,level_hit_rate,level_count
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Bharani|PURNA,-0.02086520007820804,-0.0087286509374741,0.2,5.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Bharani|NANDA,0.0016495654495063666,0.0015328074349026,0.5,12.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Bharani|JAYA,0.010542456925066439,0.011966962196662701,0.6,10.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Bharani|BHADRA,-0.012258736761486087,-0.010060856576696,0.42857142857142855,7.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Uttara_Phalguni|RIKTA,-0.0023715667401644396,0.0011553210162951499,0.5,10.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Ashwini|RIKTA,-0.01570860663336206,0.0055991552267265,0.5714285714285714,14.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Vishakha|BHADRA,0.004740582477689585,0.01748996652033975,0.6666666666666666,6.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Uttara_Phalguni|JAYA,0.025167650529935234,0.006730202189572,0.6666666666666666,3.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Uttara_Phalguni|PURNA,-0.0031081807879672586,-0.0060528644815464,0.2,5.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Purva_Phalguni|PURNA,0.0057382757551811886,0.0045174944294987,0.6666666666666666,9.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Jyeshtha|PURNA,0.00765774501112423,-0.0042955990737632,0.4,10.0
ix_nak_tithi_qual,categorical,fwd_ret_5d,1170,135.0,135.72406447416552,0.4421343904234557,0.001665762776971513,0.001665762776971513,,,,,,Jyeshtha|NANDA,-0.01988449821193174,-0.01302358397357985,0.2,10.0
